episode,length,episode_steps,loss,reward,score
0,3.0,25.0,0.0,-1.1200000047683716,0.0
1,3.0,11.0,0.0,-1.0499999523162842,0.0
2,3.0,20.0,0.0,-1.0950000286102295,0.0
3,4.0,10.0,0.454345703125,2.9600000381469727,1.0
4,3.0,8.0,8.577731132507324,-1.034999966621399,0.0
5,3.0,8.0,139.79005432128906,-1.034999966621399,0.0
6,3.0,4.0,95.29570770263672,-1.0149999856948853,0.0
7,3.0,8.0,77.18197631835938,-1.034999966621399,0.0
8,3.0,10.0,18.563623428344727,-1.0449999570846558,0.0
9,3.0,8.0,2.547025442123413,-1.034999966621399,0.0
10,4.0,10.0,1.1560028791427612,2.9600000381469727,1.0
11,4.0,14.0,0.9073345065116882,2.940000057220459,1.0
12,3.0,4.0,0.21134281158447266,-1.0149999856948853,0.0
13,3.0,4.0,0.32820865511894226,-1.0149999856948853,0.0
14,3.0,13.0,0.7873386144638062,-1.059999942779541,0.0
15,3.0,22.0,1.007058024406433,-1.1050000190734863,0.0
16,3.0,4.0,0.22452916204929352,-1.0149999856948853,0.0
17,4.0,13.0,0.5472313165664673,2.944999933242798,1.0
18,3.0,5.0,0.37833186984062195,-1.0199999809265137,0.0
19,3.0,9.0,0.3431674540042877,-1.0399999618530273,0.0
20,4.0,9.0,0.301695853471756,2.9649999141693115,1.0
21,4.0,15.0,0.5652288794517517,2.934999942779541,1.0
22,4.0,12.0,0.42670080065727234,2.950000047683716,1.0
23,3.0,15.0,0.27934330701828003,-1.0700000524520874,0.0
24,3.0,9.0,0.1674662083387375,-1.0399999618530273,0.0
25,3.0,3.0,0.04781246930360794,-1.0099999904632568,0.0
26,3.0,4.0,0.04676448553800583,-1.0149999856948853,0.0
27,3.0,6.0,0.07288563251495361,-1.024999976158142,0.0
28,3.0,5.0,0.06903313845396042,-1.0199999809265137,0.0
29,3.0,10.0,0.14973437786102295,-1.0449999570846558,0.0
30,3.0,10.0,0.12180554866790771,-1.0449999570846558,0.0
31,3.0,5.0,0.04560185596346855,-1.0199999809265137,0.0
32,3.0,3.0,0.019878173246979713,-1.0099999904632568,0.0
33,3.0,12.0,0.13960000872612,-1.0549999475479126,0.0
34,3.0,5.0,0.015380331315100193,-1.0199999809265137,0.0
35,3.0,3.0,0.018861686810851097,-1.0099999904632568,0.0
36,3.0,30.0,0.24467864632606506,-1.1449999809265137,0.0
37,5.0,20.0,0.1395297646522522,7.914999961853027,2.0
38,3.0,18.0,0.14068005979061127,-1.0850000381469727,0.0
39,4.0,17.0,0.11072663217782974,2.924999952316284,1.0
40,4.0,15.0,0.25486302375793457,2.934999942779541,1.0
41,3.0,10.0,0.08451840281486511,-1.0449999570846558,0.0
42,3.0,11.0,0.09254378825426102,-1.0499999523162842,0.0
43,3.0,4.0,0.03948025405406952,-1.0149999856948853,0.0
44,3.0,8.0,0.15726156532764435,-1.034999966621399,0.0
45,3.0,9.0,0.08214753866195679,-1.0399999618530273,0.0
46,3.0,4.0,0.0216527059674263,-1.0149999856948853,0.0
